unique_key,case_key,source_id,display_name,pdf_sha256,pdf_path,offence_family,strata_tags,gold_tier,pool,route,skip_reason,backend_case_id,match_hint
key:CAT-demo-audit-03-bwv-custody,CAT-demo-audit-03-bwv-custody,demo-audit-03-bwv-custody,demo-audit-03-bwv-custody,,artifacts/evidence-state-audit-local/cases/demo-audit-03-bwv-custody/truth-key.json,unknown,corpus_catalog|evidence_state_audit|demo_audit_template|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-04-co-def-interview,CAT-demo-audit-04-co-def-interview,demo-audit-04-co-def-interview,demo-audit-04-co-def-interview,,artifacts/evidence-state-audit-local/cases/demo-audit-04-co-def-interview/truth-key.json,unknown,corpus_catalog|evidence_state_audit|demo_audit_template|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-06-domestic-stalking,CAT-demo-audit-06-domestic-stalking,demo-audit-06-domestic-stalking,demo-audit-06-domestic-stalking,,artifacts/evidence-state-audit-local/cases/demo-audit-06-domestic-stalking/truth-key.json,harassment_digital,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-07-phone-ocr-trap,CAT-demo-audit-07-phone-ocr-trap,demo-audit-07-phone-ocr-trap,demo-audit-07-phone-ocr-trap,,artifacts/evidence-state-audit-local/cases/demo-audit-07-phone-ocr-trap/truth-key.json,harassment_digital,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-08-cctv-night-stills,CAT-demo-audit-08-cctv-night-stills,demo-audit-08-cctv-night-stills,demo-audit-08-cctv-night-stills,,artifacts/evidence-state-audit-local/cases/demo-audit-08-cctv-night-stills/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-09-cctv-index-only,CAT-demo-audit-09-cctv-index-only,demo-audit-09-cctv-index-only,demo-audit-09-cctv-index-only,,artifacts/evidence-state-audit-local/cases/demo-audit-09-cctv-index-only/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-10-bwv-public-order,CAT-demo-audit-10-bwv-public-order,demo-audit-10-bwv-public-order,demo-audit-10-bwv-public-order,,artifacts/evidence-state-audit-local/cases/demo-audit-10-bwv-public-order/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-11-custody-pace-ocr,CAT-demo-audit-11-custody-pace-ocr,demo-audit-11-custody-pace-ocr,demo-audit-11-custody-pace-ocr,,artifacts/evidence-state-audit-local/cases/demo-audit-11-custody-pace-ocr/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-12-multi-def-burglary,CAT-demo-audit-12-multi-def-burglary,demo-audit-12-multi-def-burglary,demo-audit-12-multi-def-burglary,,artifacts/evidence-state-audit-local/cases/demo-audit-12-multi-def-burglary/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-16-fraud-bank-statements,CAT-demo-audit-16-fraud-bank-statements,demo-audit-16-fraud-bank-statements,demo-audit-16-fraud-bank-statements,,artifacts/evidence-state-audit-local/cases/demo-audit-16-fraud-bank-statements/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-17-fraud-transaction-export,CAT-demo-audit-17-fraud-transaction-export,demo-audit-17-fraud-transaction-export,demo-audit-17-fraud-transaction-export,,artifacts/evidence-state-audit-local/cases/demo-audit-17-fraud-transaction-export/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-18-motoring-sjp-thin,CAT-demo-audit-18-motoring-sjp-thin,demo-audit-18-motoring-sjp-thin,demo-audit-18-motoring-sjp-thin,,artifacts/evidence-state-audit-local/cases/demo-audit-18-motoring-sjp-thin/truth-key.json,motoring,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-19-motoring-breath-specimen,CAT-demo-audit-19-motoring-breath-specimen,demo-audit-19-motoring-breath-specimen,demo-audit-19-motoring-breath-specimen,,artifacts/evidence-state-audit-local/cases/demo-audit-19-motoring-breath-specimen/truth-key.json,motoring,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-20-domestic-harassment,CAT-demo-audit-20-domestic-harassment,demo-audit-20-domestic-harassment,demo-audit-20-domestic-harassment,,artifacts/evidence-state-audit-local/cases/demo-audit-20-domestic-harassment/truth-key.json,harassment_digital,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-22-youth-interview,CAT-demo-audit-22-youth-interview,demo-audit-22-youth-interview,demo-audit-22-youth-interview,,artifacts/evidence-state-audit-local/cases/demo-audit-22-youth-interview/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-23-duplicate-pages,CAT-demo-audit-23-duplicate-pages,demo-audit-23-duplicate-pages,demo-audit-23-duplicate-pages,,artifacts/evidence-state-audit-local/cases/demo-audit-23-duplicate-pages/truth-key.json,harassment_digital,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-25-charge-bundle-mismatch,CAT-demo-audit-25-charge-bundle-mismatch,demo-audit-25-charge-bundle-mismatch,demo-audit-25-charge-bundle-mismatch,,artifacts/evidence-state-audit-local/cases/demo-audit-25-charge-bundle-mismatch/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-26-phone-referred-metadata,CAT-demo-audit-26-phone-referred-metadata,demo-audit-26-phone-referred-metadata,demo-audit-26-phone-referred-metadata,,artifacts/evidence-state-audit-local/cases/demo-audit-26-phone-referred-metadata/truth-key.json,harassment_digital,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-27-custody-pace-missing,CAT-demo-audit-27-custody-pace-missing,demo-audit-27-custody-pace-missing,demo-audit-27-custody-pace-missing,,artifacts/evidence-state-audit-local/cases/demo-audit-27-custody-pace-missing/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-demo-audit-28-fraud-subscriber-trap,CAT-demo-audit-28-fraud-subscriber-trap,demo-audit-28-fraud-subscriber-trap,demo-audit-28-fraud-subscriber-trap,,artifacts/evidence-state-audit-local/cases/demo-audit-28-fraud-subscriber-trap/truth-key.json,unknown,corpus_catalog|evidence_state_audit|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-fictional-theft-ashleigh-merritt,CAT-fictional-theft-ashleigh-merritt,fictional-theft-ashleigh-merritt,fictional-theft-ashleigh-merritt,,artifacts/evidence-state-audit-local/cases/fictional-theft-ashleigh-merritt/truth-key.json,unknown,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-gbh-pike-jordan-pike,CAT-gbh-pike-jordan-pike,gbh-pike-jordan-pike,gbh-pike-jordan-pike,,artifacts/evidence-state-audit-local/cases/gbh-pike-jordan-pike/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-motoring-thin-ella-shaw,CAT-motoring-thin-ella-shaw,motoring-thin-ella-shaw,motoring-thin-ella-shaw,,artifacts/evidence-state-audit-local/cases/motoring-thin-ella-shaw/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-s18-charge-reduction-jordan-clarke,CAT-s18-charge-reduction-jordan-clarke,s18-charge-reduction-jordan-clarke,s18-charge-reduction-jordan-clarke,,artifacts/evidence-state-audit-local/cases/s18-charge-reduction-jordan-clarke/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0000a,CAT-sc-0000a,sc-0000a,sc-0000a,,artifacts/evidence-state-audit-local/cases/sc-0000a/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0000c,CAT-sc-0000c,sc-0000c,sc-0000c,,artifacts/evidence-state-audit-local/cases/sc-0000c/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00016,CAT-sc-00016,sc-00016,sc-00016,,artifacts/evidence-state-audit-local/cases/sc-00016/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00018,CAT-sc-00018,sc-00018,sc-00018,,artifacts/evidence-state-audit-local/cases/sc-00018/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00022,CAT-sc-00022,sc-00022,sc-00022,,artifacts/evidence-state-audit-local/cases/sc-00022/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00024,CAT-sc-00024,sc-00024,sc-00024,,artifacts/evidence-state-audit-local/cases/sc-00024/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0002e,CAT-sc-0002e,sc-0002e,sc-0002e,,artifacts/evidence-state-audit-local/cases/sc-0002e/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00030,CAT-sc-00030,sc-00030,sc-00030,,artifacts/evidence-state-audit-local/cases/sc-00030/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0003a,CAT-sc-0003a,sc-0003a,sc-0003a,,artifacts/evidence-state-audit-local/cases/sc-0003a/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0003c,CAT-sc-0003c,sc-0003c,sc-0003c,,artifacts/evidence-state-audit-local/cases/sc-0003c/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00046,CAT-sc-00046,sc-00046,sc-00046,,artifacts/evidence-state-audit-local/cases/sc-00046/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00048,CAT-sc-00048,sc-00048,sc-00048,,artifacts/evidence-state-audit-local/cases/sc-00048/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00052,CAT-sc-00052,sc-00052,sc-00052,,artifacts/evidence-state-audit-local/cases/sc-00052/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00054,CAT-sc-00054,sc-00054,sc-00054,,artifacts/evidence-state-audit-local/cases/sc-00054/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0005e,CAT-sc-0005e,sc-0005e,sc-0005e,,artifacts/evidence-state-audit-local/cases/sc-0005e/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-00060,CAT-sc-00060,sc-00060,sc-00060,,artifacts/evidence-state-audit-local/cases/sc-00060/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0006a,CAT-sc-0006a,sc-0006a,sc-0006a,,artifacts/evidence-state-audit-local/cases/sc-0006a/truth-key.json,violence,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sc-0006c,CAT-sc-0006c,sc-0006c,sc-0006c,,artifacts/evidence-state-audit-local/cases/sc-0006c/truth-key.json,motoring,corpus_catalog|evidence_state_audit|bundle_fidelity_gold|materialised=true,GOLD_C,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-001,CAT-sim-001,sim-001,sim-001,,artifacts/evidence-state-audit-local/cases/sim-001/truth-key.json,harassment_other,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-002,CAT-sim-002,sim-002,sim-002,,artifacts/evidence-state-audit-local/cases/sim-002/truth-key.json,harassment_other,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-003,CAT-sim-003,sim-003,sim-003,,artifacts/evidence-state-audit-local/cases/sim-003/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-004,CAT-sim-004,sim-004,sim-004,,artifacts/evidence-state-audit-local/cases/sim-004/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-005,CAT-sim-005,sim-005,sim-005,,artifacts/evidence-state-audit-local/cases/sim-005/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-006,CAT-sim-006,sim-006,sim-006,,artifacts/evidence-state-audit-local/cases/sim-006/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-007,CAT-sim-007,sim-007,sim-007,,artifacts/evidence-state-audit-local/cases/sim-007/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-014,CAT-sim-014,sim-014,sim-014,,artifacts/evidence-state-audit-local/cases/sim-014/truth-key.json,motoring,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-015,CAT-sim-015,sim-015,sim-015,,artifacts/evidence-state-audit-local/cases/sim-015/truth-key.json,motoring,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-020,CAT-sim-020,sim-020,sim-020,,artifacts/evidence-state-audit-local/cases/sim-020/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-025,CAT-sim-025,sim-025,sim-025,,artifacts/evidence-state-audit-local/cases/sim-025/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-026,CAT-sim-026,sim-026,sim-026,,artifacts/evidence-state-audit-local/cases/sim-026/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-034,CAT-sim-034,sim-034,sim-034,,artifacts/evidence-state-audit-local/cases/sim-034/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-044,CAT-sim-044,sim-044,sim-044,,artifacts/evidence-state-audit-local/cases/sim-044/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-045,CAT-sim-045,sim-045,sim-045,,artifacts/evidence-state-audit-local/cases/sim-045/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-050,CAT-sim-050,sim-050,sim-050,,artifacts/evidence-state-audit-local/cases/sim-050/truth-key.json,harassment_other,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-052,CAT-sim-052,sim-052,sim-052,,artifacts/evidence-state-audit-local/cases/sim-052/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-053,CAT-sim-053,sim-053,sim-053,,artifacts/evidence-state-audit-local/cases/sim-053/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-054,CAT-sim-054,sim-054,sim-054,,artifacts/evidence-state-audit-local/cases/sim-054/truth-key.json,violence,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-059,CAT-sim-059,sim-059,sim-059,,artifacts/evidence-state-audit-local/cases/sim-059/truth-key.json,motoring,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
key:CAT-sim-060,CAT-sim-060,sim-060,sim-060,,artifacts/evidence-state-audit-local/cases/sim-060/truth-key.json,motoring,corpus_catalog|evidence_state_audit|h4_simulator|materialised=true,NO_GOLD,criminal,SKIP,missing_pdf_sha256,,
